,wm_loss,accuracy,mean_length_test,mean_reward,entropy_loss,_runtime,std_length,std_length_test,actor_loss,grid_correctness,_step,mean_length,train_mean_episode_reward,train_mean_episode_length,advantage_mean,grid_correctness_test,critic_loss,advantage_std,mean_reward_test,total_loss,div_loss,_timestamp,accuracy_test,wm_offline_loss
0,0,0.2760416567325592,4.0,-15.755208969116211,4.205912113189697,13.42946557,0.0,0.0,-33.29444885253906,0.0,0,4.0,-15.501300811767578,3.984375,-6.050766944885254,0.0,1.8914079666137695,5.292126178741455,-15.819442749023438,-33.62046813964844,0,1768789045.7547584,0.2847222089767456,3.018919211167556
1,0,0.140625,4.0,-11.524740219116211,2.680248737335205,278.122458469,0.0,0.0,-14.417279243469238,0.0,1,4.0,-11.223958015441895,3.890625,-3.9457345008850098,0.0,0.2581479847431183,3.9164235591888428,-11.749999046325684,-14.672396659851074,0,1768789310.4479487,0.1545138955116272,0.09222707338631153
2,0,0.1080729141831398,4.0,-11.12109375,2.9498956203460693,905.958187501,0.0,0.0,-15.232574462890625,0.0,4,4.0,-11.322916030883789,4.0,-3.8802807331085205,0.0,0.17994043231010437,3.6299848556518555,-11.079859733581543,-15.518567085266113,0,1768789938.2837625,0.1111111119389534,0.06056980186930069
3,0,0.0963541641831398,4.0,-10.865885734558105,2.8506572246551514,1761.260148546,0.0,0.0,-14.395026206970215,0.0078125,7,4.0,-10.381509780883789,3.9375,-3.4726057052612305,0.0,0.15620629489421844,3.6019363403320312,-11.170138359069824,-14.672281265258789,0,1768790793.5856063,0.0850694477558136,0.05796487567325433
4,0,0.091796875,4.0,-11.010416984558105,2.9312663078308105,2033.360454314,0.0,0.0,-16.479385375976562,0.0,8,4.0,-11.77734375,3.953125,-4.269343376159668,0.0,0.1650533825159073,3.7908008098602295,-11.052082061767578,-16.764259338378906,0,1768791065.685949,0.0920138880610466,0.047602990785470374
5,0,0.09375,4.0,-11.111979484558105,2.9009945392608643,2308.807227734,0.0,0.0,-15.85297966003418,0.0078125,9,4.0,-11.540364265441895,3.953125,-4.0816802978515625,0.0,0.15504096448421478,3.7178876399993896,-11.031249046325684,-16.135326385498047,0,1768791341.1327486,0.09375,0.04373052386710277
6,0,0.08984375,4.0,-10.88671875,2.9016964435577393,2859.77927331,0.0,0.0,-14.717902183532715,0.0,11,4.0,-10.321614265441895,3.90625,-3.526675224304199,0.0,0.1348988115787506,3.6122024059295654,-10.833332061767578,-15.001326560974121,0,1768791892.1048446,0.0798611119389534,0.04286217875778675
7,0,0.0813802108168602,4.0,-10.852864265441895,2.841827630996704,3126.536017372,0.0,0.0,-14.849082946777344,0.0,12,4.0,-11.046875,3.921875,-3.9613003730773926,0.0,0.11560910195112228,3.7155869007110596,-11.097221374511719,-15.127485275268555,0,1768792158.861644,0.0711805522441864,0.04065347577516849
8,0,0.0833333358168602,4.0,-10.794270515441895,2.8050577640533447,3672.794406537,0.0,0.0,-14.773045539855957,0.0,14,4.0,-10.864583015441895,3.921875,-3.877770185470581,0.0,0.12233826518058777,3.6775901317596436,-10.802082061767578,-15.04743480682373,0,1768792705.1200027,0.078125,0.04670461639761925
9,0,0.0852864608168602,4.0,-10.942708969116211,2.820265531539917,4217.917635148,0.0,0.0,-14.505640983581543,0.0,16,4.0,-10.90234375,3.953125,-3.8305912017822266,0.0,0.11625939607620239,3.62103009223938,-10.895832061767578,-14.781854629516602,0,1768793250.243174,0.0763888880610466,0.05067118973686145
10,0,0.09430255740880966,4.0,-10.861978530883789,2.9047372341156006,4463.827302222,0.2641272246837616,0.0,-15.429221153259277,0.0078125,17,3.9765625,-11.299478530883789,3.90625,-4.106792449951172,0.0,0.14413808286190033,3.7642781734466553,-10.836804389953613,-15.712488174438477,0,1768793496.1527867,0.0902777761220932,0.05014097719238354
11,0,0.0891927108168602,4.0,-11.052083969116211,2.962714433670044,4705.530932158,0.0,0.0,-15.273895263671875,0.0,18,4.0,-11.111978530883789,3.953125,-3.9607648849487305,0.0,0.11466625332832336,3.6448159217834473,-11.076388359069824,-15.564433097839355,0,1768793737.8565407,0.0868055522441864,0.06701630726456642
12,0,0.0944010391831398,4.0,-10.766927719116211,2.681788682937622,4964.813110389,0.0,0.0,-12.951799392700195,0.0,19,4.0,-10.145833015441895,3.8203125,-3.6510565280914307,0.0,0.14281855523586273,3.673328161239624,-10.583332061767578,-13.212837219238281,0,1768793997.1386964,0.09375,0.07574002103259166
13,0,0.11335504800081253,4.0,-10.552083015441895,2.859766721725464,5453.161543084,0.029347458854317665,0.0,-14.35434341430664,0.0078125,21,3.9973959922790527,-10.30078125,3.84375,-3.788208484649658,0.0,0.1688777208328247,3.6273915767669678,-10.36111068725586,-14.631875991821289,0,1768794485.487106,0.125,0.13649975042790174
14,0,0.13355481624603271,3.9513885974884033,-9.772134780883789,2.7897026538848877,6908.616912457,0.3553805649280548,0.33326098322868347,-13.910186767578125,0.0625,27,3.9192709922790527,-10.384114265441895,3.921875,-3.8949389457702637,0.02083333395421505,0.22211003303527832,3.678298234939575,-10.076388359069824,-14.178051948547363,0,1768795940.9424546,0.12653778493404388,0.14789707099015897
15,0,0.13391073048114777,3.8958332538604736,-9.680989265441895,2.9291789531707764,7191.64157001,0.36731672286987305,0.42029666900634766,-14.518535614013672,0.09375,28,3.9088542461395264,-10.115884780883789,3.8255209922790527,-3.769167423248291,0.0625,0.22285985946655273,3.678349018096924,-9.631943702697754,-14.800311088562012,0,1768796223.9671345,0.12834224104881287,0.1473123809465995
16,0,0.12905360758304596,3.8958332538604736,-9.877603530883789,2.771360158920288,7465.970609012,0.3561430275440216,0.38583871722221375,-12.520133972167969,0.0546875,29,3.9348957538604736,-9.701822280883789,3.859375,-3.464725971221924,0.0833333358168602,0.2087223082780838,3.4517295360565186,-9.687499046325684,-12.786833763122559,0,1768796498.2961366,0.13190731406211853,0.15147309626142183
17,0,0.12647444009780884,4.0,-9.770833969116211,2.7784104347229004,7764.976687961,0.16981084644794464,0.0,-13.021697998046875,0.046875,30,3.9739584922790527,-9.897134780883789,3.8125,-3.7001705169677734,0.0,0.22047822177410126,3.4734864234924316,-9.934027671813965,-13.288515090942383,0,1768796797.3021874,0.1232638880610466,0.1571705347070327
18,0,0.12913906574249268,3.909722089767456,-9.671874046325684,2.73345947265625,8060.360760333,0.3419698178768158,0.3315199613571167,-12.986801147460938,0.0546875,31,3.9322917461395264,-9.265625,3.7526042461395264,-3.4200682640075684,0.0833333358168602,0.22097636759281158,3.6100358963012695,-9.354166984558105,-13.24909782409668,0,1768797092.6861372,0.14387211203575134,0.15201840549707413
19,0,0.12647444009780884,3.875,-9.759115219116211,2.7161788940429688,8360.259328975,0.17484800517559052,0.5074673891067505,-13.287220001220703,0.0234375,32,3.9739582538604736,-9.52734375,3.7890625,-3.5785679817199707,0.0833333358168602,0.16081976890563965,3.5653512477874756,-9.222221374511719,-13.550796508789062,0,1768797392.5848882,0.13978494703769684,0.14582227542996407
20,0,0.13705921173095703,3.965277671813965,-9.493490219116211,2.8066844940185547,8640.697929956,0.35415709018707275,0.23804359138011932,-12.733003616333008,0.0703125,33,3.9140625,-9.45703125,3.78125,-3.3510971069335938,0.0416666679084301,0.2371809333562851,3.441329002380371,-9.67361068725586,-13.001812934875488,0,1768797673.0235326,0.1348511427640915,0.15551511943340302
21,0,0.1385742872953415,3.7986114025115967,-9.394530296325684,2.7258317470550537,9577.161636635,0.39245229959487915,0.5842832922935486,-12.979314804077148,0.09375,36,3.9088540077209473,-9.4921875,3.7421875,-3.590941905975342,0.1666666716337204,0.21672965586185455,3.602018117904663,-8.652777671813965,-13.241061210632324,0,1768798609.487081,0.1590493619441986,0.14821388572454453
22,0,0.1458473950624466,3.930555582046509,-9.082030296325684,2.672659158706665,10186.478454792,0.5165383219718933,0.29626011848449707,-12.47953987121582,0.1015625,38,3.8567707538604736,-9.412759780883789,3.7721354961395264,-3.499321699142456,0.1041666716337204,0.19629575312137604,3.487827777862549,-9.170138359069824,-12.736990928649902,0,1768799218.8040366,0.15194346010684967,0.11109673293928306
23,0,0.13974951207637787,3.8541667461395264,-9.477864265441895,2.654144763946533,10771.169814786,0.2503117322921753,0.46100860834121704,-12.226178169250488,0.0625,40,3.9505207538604736,-8.7578125,3.7083332538604736,-3.224884271621704,0.1666666716337204,0.20901907980442047,3.5337460041046143,-8.888888359069824,-12.481141090393066,0,1768799803.4953449,0.15315315127372742,0.0966038042679429
24,0,0.1465517282485962,3.909722089767456,-9.287759780883789,2.6237380504608154,11068.556449361,0.34845268726348877,0.3833308219909668,-12.12048625946045,0.0703125,41,3.9270832538604736,-8.940103530883789,3.640625,-3.3602240085601807,0.1041666716337204,0.21581020951271057,3.545112371444702,-9.246527671813965,-12.372069358825684,0,1768800100.8819861,0.1456483155488968,0.12496574347217877
25,0,0.14200398325920105,3.7638885974884033,-9.319009780883789,2.6347033977508545,11378.748109933,0.3286516070365906,0.5089855790138245,-12.337489128112793,0.078125,42,3.9244790077209473,-8.421875,3.5026040077209473,-3.1967267990112305,0.2291666716337204,0.2539925277233124,3.51511549949646,-8.493054389953613,-12.58825969696045,0,1768800411.073604,0.16236162185668945,0.14504116028547287
